/BIC/ZVCH_OKPO,TXTLG
255935,"ОАО ""ЛДК-3"""
255987,"АО ""ОНЕЖСКИЙ ЛДК"""
256308,Вышневолоцкий МДОК ОАО
257974,ОАО 'Приморсклеспром'
258649,Лобва ОАО
260267,Дистанция инженерных сооружений
260362,ОАО 'Парфинский фанерный комбинат'
260528,ЗАО `СФАТ`
260617,ЗАО `МЕЖТРАНС`
263981,УССУРИЙСКОЕ ППЖТ ОАО
278899,Цепрусс СП АО
279143,ОАО 'Целлюлозный завод 'Питкяранта'
279189,"ОАО ""СОЛОМБАЛЬСКИЙ ЦБК"""
279195,ОАО 'АРХАНГЕЛЬСКИЙ ЦБК'
279226,ОАО 'Сокольский ЦБК'
279278,ОАО 'Волга'
279404,"АО ""МОНДИ СЛПК"""
279410,Марийский ЦБК ОАО
279433,Лесосибирский канифол-экстракц з-д ОАО
279485,"ОАО ""БЦБК"""
279491,Братсккомплексхолдинг ОАО(Братск)
279580,"АО ""СОЛИКАМСКБУМПРОМ"""
279611,"ОАО ""СЕЛЕНГИНСКИЙ ЦКК"""
279870,ООО 'Ветлужский завод 'Метоксил'
279887,Карбохим ОАО
279901,Дмитриевский химический з-д ОАО
279924,"ОАО ""МОЛОМСКИЙ ЛХЗ"""
279947,ОАО 'АХЗ'
279953,"ООО ""БИЗНЕС-НАВИГАТОР"""
280442,Новолялинский ЦБК (Ляля)
280459,"ЗАОР ""ТУРИНСКИЙ ЦБЗ"""
280531,ЗАО 'ВСЛХЗ'
281192,"ЗАО ""Осколцемент"""
281223,"АО ""СЕБРЯКОВЦЕМЕНТ"""
281252,"ОАО ""ЦЕСЛА"""
281602,Шиферник ОАО
281631,"АО РАБОТНИКОВ ""НАРОДНОЕ ПРЕДПРИЯТИЕ ЗНАМЯ"""
282323,"К-т ""Полимерстройматериалы"""
282398,"ГОРНОВСКИЙ ЗАВОД СЖБ - ФИЛИАЛ ОАО ""БЭТ"""
282429,Челябинский з-д ЖБШ
282470,Кавказский з-д ЖБШ
282518,"Чудовский завод ЖБШ - филиал ОАО ""БЭТ"""
282599,Мордовцемент ОАО
282613,"ООО ""ХОЛСИМ(РУС)"""
282642,"ОАО ""Сухоложскцемент"""
282659,ЗАО 'Невьянский цементник'
282671,Ульяновскцемент АО
282754,"АО ""СПАССКЦЕМЕНТ"""
282783,"АО ""АНГАРСКЦЕМЕНТ"""
282866,"АО ""НЦЗ"""
282872,"ОАО ""ГОРНОЗАВОДСКЦЕМЕНТ"""
282955,Белгородское ППЖТ ОАО
282984,"ЗАО ""Кавказцемент"""
284977,"АО ""КМС"""
287071,"ОАО ""ЭЙ ДЖИ СИ БСЗ"""
287355,Камышинский стеклотарный завод ЗАО
287533,Факел ОАО
287556,Медстекло-Борисовское ОАО
287786,Минводы-Кровля ЗАО
287792,ЗАО ' Кровля '
287852,"ООО ""ЗАВОД КГМ ТЕХНОНИКОЛЬ"""
288030,"ПАО ""ЗКИ"""
288283,"ООО ""МИНЬЯРСКИЙ КАРЬЕР"""
288292,"ОАО ""ДАГНЕРУД"""
288567,Великодворский стекольный завод
300848,Искож ОАО
305337,Богдановический фарфоровый з-д
333428,Красноярский маргариновый з-д(Бугач)
333434,Волгоградский маргариновый завод ОАО
333440,"ПАО ""ЕВДАКОВСКИЙ МЖК"""
333476,"ОАО ""ПРОИЗВОДСТВЕННЫЙ ХОЛДИНГ ""ЗДРАВА"""
333486,ОАО 'Самарский жиркомбинат'
333492,Масложировой комбинат АООТ
333500,Московский жиркомбинат' ОАО
333523,"Пермский маргариновый з-д ""Сдобри"""
333530,Жировой комбинат ОАО
333546,"ОАО ""ЖИРОВОЙ КОМБИНАТ"""
333552,Троицкий жиркомбинат ОАО
333693,"ОАО ""ЭФКО"""
333859,Калина концерн ОАО
333865,"ОАО ""ВЗСП"""
334066,"Новороссийский к-т ""Импортпищепром"""
335215,ЗАО 'АИСТ'
335373,Конк произ ОАО 'Буинский сахарный завод'
335485,"ОАО ""СЗЛ"""
335769,"ОАО ""ЧЕРЕМНОВСКИЙ САХАРНЫЙ ЗАВОД"""
336102,Земетчиносахар АО
336378,ЗАО 'БМЭЗ'
336409,"Масложиркомбинат ""Хабаровский"" ОАО"
336444,"АО ""НМЖК"""
336467,"ООО ""ИРКУТСКИЙ МАСЛОЖИРКОМБИНАТ"""
336510,ОМЭЗ ОАО
336527,"АО ""ОРЕЛМАСЛО"""
336533,Миллеровский МЭЗ ОАО
336548,"Ростовский ЗАО ""Рабочий"""
336562,"ПАО ""НЭФИС КОСМЕТИКС"""
336616,ОАО 'Масложиркомбинат 'Армавирский'
336639,ООО 'Лабинский МЭЗ'
336697,ОАО 'Валуйский комбинат растительных масел'
337946,ОАО 'СПИРТОВЫЙ КОМБИНАТ'
338035,"Веселолопанский спиртовый з-д ф-л ""Росспиртпром"""
338041,ФЛ ФГУП 'Росспиртпром' - Береговское предприятие
338383,Экстра ОАО
338673,"Ардымский спиртзавод- ф-л ОАО ""Пензаспиртпром"""
338680,"Софийский спиртзавод  ""Пензаспиртпром"" ООО ОСЗ"
338704,"Шеншинский спиртзавод ОАО ""Пензаспиртпром"""
338710,"Надеждинский спиртзавод ОАО ""Пензаспиртпром"""
338785,Вердеревский спиртзавод ОАО
338974,Тюшевской спиртзавод ОАО(Чад)
339141,"ОАО ""ТАЛВИС"""
