/BIC/ZVCH_STMP,DATETO,DATEFROM,TXTSH,TXTMD,TXTLG
1299,31.12.9999,01.01.1000,ВЭУКунград,,
1300,00.00.0000,00.00.0000,"ООО ""ВагонДорМаш""","ООО ""ВагонДорМаш""","Общество с ограниченной ответственностью ""ВагонДорМаш"""
1300,31.12.9999,01.01.1000,"ООО""ВагонДорМаш""",,
1301,00.00.0000,00.00.0000,"ТОО ""КазКорГрупп""","ТОО ""КазКорГрупп""","Товарищество с ограниченной ответственностью ""КазКорГрупп"""
1301,31.12.9999,01.01.1000,"ТОО""КазКорГрупп""",,
1302,00.00.0000,00.00.0000,"ТОО ""АГМ-ТАБЫС""","ТОО ""АГМ-ТАБЫС""","Товарищество с ограниченной ответственностью ""АГМ-ТАБЫС"""
1302,31.12.9999,01.01.1000,"ТОО""АГМ-ТАБЫС""",,
1303,00.00.0000,00.00.0000,"ОАО ""Дизельный завод","ОАО ""Дизельный завод""","Открытое акционерное общество ""Дизельный завод"""
1303,31.12.9999,01.01.1000,"ОАО""Дизельныйзавод",,
1304,00.00.0000,00.00.0000,Пермский филиал ЗАО,"Пермский филиал ЗАО ""ЛУКойл-Транс""","Пермский филиал ЗАО ""ЛУКойл-Транс"""
1304,31.12.9999,01.01.1000,ПермскийфилиалЗАО,,
1305,00.00.0000,00.00.0000,"ЗАО ""УВК""","ЗАО ""Уральская вагоноремонтная компания""","Закрытое акционерное общество ""Уральская вагоноремонтная ком"
1305,31.12.9999,01.01.1000,УральскВКМагнитогорс,,
1306,00.00.0000,00.00.0000,"ТОО ""Степногорск тем","ТОО ""Степногорск темир жолы""","ТОО ""Степногорск темир жолы"""
1306,31.12.9999,01.01.1000,"ТОО""Степногорсктем",,
1307,31.12.9999,01.01.1000,,,
1308,00.00.0000,00.00.0000,"ООО ""Электропром""","ООО ""Электропром""","ООО ""Электропром"""
1308,31.12.9999,01.01.1000,"ООО""Электропром""",,
1310,00.00.0000,00.00.0000,"ОАО ""Центролит""","ОАО ""Центролит"", Украина, 44020, г. Сумы","ОАО ""Центролит"", Украина, 44020, г. Сумы"
1310,31.12.9999,01.01.1000,"ОАО""Центролит""",,
1311,00.00.0000,00.00.0000,"ОАО ""НКВЗ""",ОАО Новокузнецкий ВСЗ,ОАО Новокузнецкий вагоностроительный завод
1311,31.12.9999,01.01.1000,НовокузнецкийВСЗ,,
1312,00.00.0000,00.00.0000,ВЧД Ставрополь,ВЧД Ставрополь СП ЗАО Кав-Транс,Вагонное депо Ставрополь  структурное подразделение ЗАО Кав-
1312,31.12.9999,01.01.1000,ВЧДСтаврополь,,
1313,00.00.0000,00.00.0000,"ОАО ""Металлист""","Открытое акционерное общество ""Металлист","Открытое акционерное общество ""Металлист"""
1313,31.12.9999,01.01.1000,"ОАО""Металлист""",,
1314,00.00.0000,00.00.0000,"ООО ВРП ""Новотранс""","ООО ВРП ""Новотранс""","ООО Вагоноремонт. предприятие ""Новотранс"""
1314,31.12.9999,01.01.1000,"ООО ""ВРП ""Новотранс""","ООО ""ВРП ""Новотранс""","ООО ""ВРП ""Новотранс"""
1315,00.00.0000,00.00.0000,Орский вагонный заво,"ООО ""Орский вагонный завод""","ООО ""Орский вагонный завод"""
1315,31.12.9999,01.01.1000,"ООО ""Орский вагонный","ООО ""Орский вагонный завод""","ООО ""Орский вагонный завод"""
1317,00.00.0000,00.00.0000,"ОАО ""ВМЗ""","ОАО ""Верхнеднепровский машиностр. завод""","ОАО ""Верхнеднепровский машиностр. завод"""
1317,31.12.9999,01.01.1000,"ОАО""ВМЗ""",,
1318,00.00.0000,00.00.0000,"НПК ""Днепроспецмаш""","ЗАО ""НПК ""Днепроспецмаш""""","Закрытое акционерное общ. ""НПК ""Днепроспецмаш"""""
1318,31.12.9999,01.01.1000,"НПК""Днепроспецмаш""",,
1319,00.00.0000,00.00.0000,"ЗАО ""ППРЗ""","ЗАО ""Пермский пружинно-рессорный завод""","ЗАО ""Пермский пружинно-рессорный завод"""
1319,31.12.9999,01.01.1000,"ЗАО""ППРЗ""",,
1320,00.00.0000,00.00.0000,"ООО ""РРС""","ООО ""Редукторремсервис""","ООО ""Редукторремсервис"""
1320,31.12.9999,01.01.1000,"ООО""РРС""",,
1321,00.00.0000,00.00.0000,"ТОО ""Жана-Есил Феник","ТОО ""Жана-Есил Феникс""","ТОО ""Жана-Есил Феникс"""
1321,31.12.9999,01.01.1000,"ТОО""Жана-ЕсилФеник",,
1322,00.00.0000,00.00.0000,"ООО ""БВМ""","ООО ""Брянсквагонмаш""","ООО ""Брянсквагонмаш"""
1322,31.12.9999,01.01.1000,Новозыбковмашзавод,,
1323,00.00.0000,00.00.0000, Хабаровск-2 ВЧДЭ,КРЦ Вяземское ВЧДЭ Хабаровск-2,Колёсно-роликовый цех Вяземское ВЧДЭ Хабаровск-2
1323,31.12.9999,01.01.1000,Хабаровск-2ВЧДЭ,,
1324,00.00.0000,00.00.0000,Уссурийск реф.ВЧДР,Рефрижераторное вагонное депо Уссурийск,Рефрижераторное вагонное депо Уссурийск
1324,31.12.9999,01.01.1000,Уссурийскреф.ВЧДР,,
1325,00.00.0000,00.00.0000,"ООО ""УВЗ-Иртранс""","ООО ""УВЗ-Иртранс""","Общество с ограниченной ответственностью ""УВЗ-Иртранс"""
1325,31.12.9999,01.01.1000,"ООО""УВЗ-Иртранс""",,
1326,00.00.0000,00.00.0000,"ТОО ""FMC""","ТОО ""Format Mach Company""","ТОО ""Format Mach Company"" Инжиниринг-маркетинговая компания"
1326,31.12.9999,01.01.1000,"ТОО""FMC""",,
1327,00.00.0000,00.00.0000,"ТОО ""КВК""","ТОО ""КВК""","Товарищество с ограниченной ответственностью ""КВК"""
1327,31.12.9999,01.01.1000,"ТОО""КВК""",,
1328,00.00.0000,00.00.0000,"ТОО ""Алматы ВКМ Серв","ТОО ""Алматы ВКМ Сервис""","ТОО ""Алматы ВКМ Сервис"""
1328,31.12.9999,01.01.1000,"ТОО""АлматыВКМСерв",,
1329,00.00.0000,00.00.0000,"ООО ""КВРП ""Новотранс","ООО ""КВРП ""Новотранс""","Общество с ограниченной ответственностью ""КВРП ""Новотранс"""""
1329,31.12.9999,01.01.1000,"ООО ""КВРП ""Новотранс","ООО ""КВРП ""Новотранс""","ООО ""КВРП ""Новотранс"""
1330,31.12.9999,01.01.1000,,,
1331,00.00.0000,00.00.0000,"ООО ""СпецВагонДеталь","ООО ""СпецВагонДеталь""","Общество с ограниченной ответственностью ""СпецВагонДеталь"""
1331,31.12.9999,01.01.1000,"ООО""СпецВагонДеталь",,
1332,00.00.0000,00.00.0000,"ОАО ВРП ""Грязи""","ОАО ВРП ""Грязи""","ОАО ""ВРП"" Грязи"""""
1332,31.12.9999,01.01.1000,"АО ""ВРП ""Грязи""","АО ""ВРП ""Грязи""","АО ""ВРП ""Грязи"""
1333,00.00.0000,00.00.0000,"ООО ""АрмаПром""","ООО ""АрмаПром""","Общестов с ограниченной ответственностью ""АрмаПром"""
1333,31.12.9999,01.01.1000,"ООО""АрмаПром""",,
1334,00.00.0000,00.00.0000,"МСОЭЗ ""Темп""","ОАО Лебединский МСОЭЗ ""Темп""","ООО ""Лебединский машиностроительный опытно-эксперементальный"
1334,31.12.9999,01.01.1000,"МСОЭЗ""Темп""",,
1335,31.12.9999,01.01.1000,,,
1336,00.00.0000,00.00.0000,ВУ Термез,ВУ Термез,Вагонноэксплуатационный участок (ВУ) Термез ГАЖК ?УТЙ?
1336,31.12.9999,01.01.1000,ВУТермез,,
1338,31.12.9999,01.01.1000,,,
1339,00.00.0000,00.00.0000,"ООО ""Уральские локом","ООО ""Уральские локомотивы""","Общество с ограниченной ответственностью ""Уральские локомоти"
1339,31.12.9999,01.01.1000,"ООО""Уральскиелоком",,
1341,00.00.0000,00.00.0000,ВКМ станции Иланская,ВКМ станции Иланская,Вагоноколесные мастерские станции Иланская
1341,31.12.9999,01.01.1000,ВКМстанцииИланская,,
1342,31.12.9999,01.01.1000,,,
1343,31.12.9999,01.01.1000,,,
1344,31.12.9999,01.01.1000,,,
1345,31.12.9999,01.01.1000,,,
1346,31.12.9999,01.01.1000,,,
1347,31.12.9999,01.01.1000,,,
1348,31.12.9999,01.01.1000,,,
1349,31.12.9999,01.01.1000,,,
1350,31.12.9999,01.01.1000,,,
1351,31.12.9999,01.01.1000,,,
1352,31.12.9999,01.01.1000,,,
1353,31.12.9999,01.01.1000,,,
1354,31.12.9999,01.01.1000,,,
1355,31.12.9999,01.01.1000,,,
1356,31.12.9999,01.01.1000,,,
1358,31.12.9999,01.01.1000,,,
1359,31.12.9999,01.01.1000,,,
1360,31.12.9999,01.01.1000,,,
1361,31.12.9999,01.01.1000,,,
1362,31.12.9999,01.01.1000,,,
1363,31.12.9999,01.01.1000,,,
1364,31.12.9999,01.01.1000,,,
1365,31.12.9999,01.01.1000,,,
1367,31.12.9999,01.01.1000,,,
1368,31.12.9999,01.01.1000,,,
1369,31.12.9999,01.01.1000,,,
1372,31.12.9999,01.01.1000,,,
1373,31.12.9999,01.01.1000,,,
1374,31.12.9999,01.01.1000,,,
1375,31.12.9999,01.01.1000,,,
1376,31.12.9999,01.01.1000,,,
1377,31.12.9999,01.01.1000,,,
1378,31.12.9999,01.01.1000,ТихвинскийВСЗ,,
1379,31.12.9999,01.01.1000,,,
1380,31.12.9999,01.01.1000,,,
1381,31.12.9999,01.01.1000,,,
1382,31.12.9999,01.01.1000,,,
1383,31.12.9999,01.01.1000,,,
1384,31.12.9999,01.01.1000,,,
1385,31.12.9999,01.01.1000,,,
1386,31.12.9999,01.01.1000,,,
1387,31.12.9999,01.01.1000,,,
1389,31.12.9999,01.01.1000,,,
1390,31.12.9999,01.01.1000,,,
1391,31.12.9999,01.01.1000,,,
1392,31.12.9999,01.01.1000,,,
1393,31.12.9999,01.01.1000,,,
1396,31.12.9999,01.01.1000,,,
1398,31.12.9999,01.01.1000,,,
1400,31.12.9999,01.01.1000,,,
1401,31.12.9999,01.01.1000,,,
1405,31.12.9999,01.01.1000,,,
1407,31.12.9999,01.01.1000,,,
1408,31.12.9999,01.01.1000,,,
1409,31.12.9999,01.01.1000,,,
1414,31.12.9999,01.01.1000,,,
1415,31.12.9999,01.01.1000,,,
1416,31.12.9999,01.01.1000,,,
1417,31.12.9999,01.01.1000,,,
1419,31.12.9999,01.01.1000,,,
1423,31.12.9999,01.01.1000,СибирскаяВагРемКомп,,
1426,31.12.9999,01.01.1000,,,
1429,30.01.2013,01.01.1000,"ООО ""КВРЗ ""Новотранс","ООО ""КВРЗ ""Новотранс""","ООО ""КВРЗ ""Новотранс"""
1429,30.10.2013,31.01.2013,"ООО ""КВРЗ ""Новотранс","ООО ""КВРЗ ""Новотранс""","ООО ""КВРЗ ""Новотранс"""
1429,31.12.9999,31.10.2013,"ООО ""КВРЗ ""Новотранс","ООО ""КВРЗ ""Новотранс""","ООО ""КВРЗ ""Новотранс"""
1431,31.12.9999,01.01.1000,Нижнекамскнефтехим,,
1432,31.12.9999,01.01.1000,,,
1433,31.12.9999,01.01.1000,,,
1435,31.12.9999,01.01.1000,,,
1436,31.12.9999,01.01.1000,,,
1437,31.12.9999,01.01.1000,,,
1438,31.12.9999,01.01.1000,,,
1441,31.12.9999,01.01.1000,,,
1442,31.12.9999,01.01.1000,,,
1448,31.12.9999,01.01.1000,,,
1449,31.12.9999,01.01.1000,,,
1453,31.12.9999,01.01.1000,,,
1459,31.12.9999,01.01.1000,,,
1460,31.12.9999,01.01.1000,ДепоЕвроХимН-Мысск,,
1465,31.12.9999,01.01.1000,,,
1467,31.12.9999,01.01.1000,,,
1468,31.12.9999,01.01.1000,,,
1475,31.12.9999,01.01.1000,,,
1478,31.12.9999,01.01.1000,,,
1480,31.12.9999,01.01.1000,,,
1486,31.12.9999,01.01.1000,,,
1487,31.12.9999,01.01.1000,,,
1488,31.12.9999,01.01.1000,ВЧД ООО ТрейнСервис,ВЧД ООО ТрейнСервис,ВЧД ООО ТрейнСервис
1490,31.12.9999,01.01.1000,,,
1491,31.12.9999,01.01.1000,,,
1493,31.12.9999,01.01.1000,,,
1496,31.12.9999,01.01.1000,,,
1497,31.12.9999,01.01.1000,,,
1500,31.12.9999,01.01.1000,,,
1505,31.12.9999,01.01.1000,,,
1507,31.12.9999,01.01.1000,,,
1519,31.12.9999,01.01.1000,,,
1523,31.12.9999,01.01.1000,,,
1526,31.12.9999,01.01.1000,,,
1527,30.10.2016,01.01.1000,"ООО ""ГлобалТрейд""",,"ООО ""ГлобалТрейд"""
1527,31.12.9999,31.10.2016,"ООО ""ГлобалТрейд""",,"ООО ""ГлобалТрейд"""
1530,31.12.9999,01.01.1000,,,
1532,31.12.9999,01.01.1000,АрмавирскоеВРД,,
1534,31.12.9999,01.01.1000,,,
1535,31.12.9999,01.01.1000,,,
1543,31.12.9999,01.01.1000,,,
1546,31.12.9999,01.01.1000,"АО ""ТихвинХимМаш""","АО ""ТихвинХимМаш""","АО ""ТихвинХимМаш"""
1568,31.12.9999,01.01.1000,"ЗАО ""ТихвинСпецМаш""","ЗАО ""ТихвинСпецМаш""","ЗАО ""ТихвинСпецМаш"""
1578,31.12.9999,01.01.1000,"ООО""ВРП Завязовское""","ООО ""ВРП Завязовское""","ООО ""ВРП Завязовское"""
1580,31.12.9999,01.01.1000,ВРД Волгоград,,"ВРД Волгоград - филиал ООО ""НВК"""
1590,31.12.9999,01.01.1000,"ВРД Смычка АО ""ВРК-3","ВРД Смычка АО ""ВРК-3""","ВРД Смычка АО ""ВРК-3"""
1653,31.12.9999,01.01.1000,,,
1668,31.12.9999,01.01.1000,,,
1704,31.12.9999,01.01.1000,,,
1717,31.12.9999,01.01.1000,,,
1736,31.12.9999,01.01.1000,,,
1785,31.12.9999,01.01.1000,ВРП Котел ООО ВКМ,ВРП Котел ООО ВКМ,ВРП Котел ООО ВКМ
1793,31.12.9999,01.01.1000,ВЧДЭ Новосокольники,ВЧДЭ Новосокольники,ВЧДЭ Новосокольники ОАО РЖД
1813,31.12.9999,01.01.1000,"ООО ""ВТК Орск""","ООО ""ВТК Орск""","ООО ""ВТК Орск"""
1816,31.12.9999,01.01.1000,,,
1844,31.12.9999,01.01.1000,,,
1845,31.12.9999,01.01.1000,,,
1846,31.12.9999,01.01.1000,,,
1847,31.12.9999,01.01.1000,,,
1848,31.12.9999,01.01.1000,,,
1970,31.12.9999,01.01.1000,,,
1987,31.12.9999,01.01.1000,,,
1993,31.12.9999,01.01.1000,,,
1995,31.12.9999,01.01.1000,,,
2001,00.00.0000,00.00.0000,"* Филиал ЗАО ""Лукойл","* Филиал ЗАО ""Лукойл-Транс""","* Пермьский филиал закрытого акционерного общества ""Лукойл-Т"
2001,31.12.9999,01.01.1000,"*ФилиалЗАО""Лукойл",,
2003,31.12.9999,01.01.1000,,,
2011,31.12.9999,01.01.1000,,,
2012,31.12.9999,01.01.1000,,,
2402,31.12.9999,01.01.1000,,,
2404,31.12.9999,01.01.1000,,,
2478,31.12.9999,01.01.1000,,,
2809,31.12.9999,01.01.1000,,,
2815,31.12.9999,01.01.1000,,,
2820,31.12.9999,01.01.1000,,,
2975,31.12.9999,01.01.1000,,,
3117,31.12.9999,01.01.1000,,,
3431,31.12.9999,01.01.1000,,,
3682,31.12.9999,01.01.1000,,,
3840,31.12.9999,01.01.1000,,,
3905,31.12.9999,01.01.1000,,,
3939,31.12.9999,01.01.1000,,,
4000,00.00.0000,00.00.0000,УралХим-Транс Бере,"ООО ""УралХим-Транс"" Березники","Общество с ограниченной ответственностью ""УралХим-Транс""  Бе"
4000,31.12.9999,01.01.1000,УралХим-ТрансБере,,
4001,00.00.0000,00.00.0000,"АО ""Эстонская ж.д.""","АО ""Эстонская ж.д.""","Вагонное хозяйство акционерное общество ""Эстонская железная"
4001,31.12.9999,01.01.1000,"АО""Эстонскаяж.д.""",,
4002,00.00.0000,00.00.0000,ПТОР Гардабани,ПТОР Гардабани,Пункт текущего отцепочного ремонта вагонов ст. Гардабани
4002,31.12.9999,01.01.1000,ПТОРГардабани,,
4003,00.00.0000,00.00.0000,Рижский ЭУ,Рижский ЭУ,"ГАО ""Латвияс дзелзцельш"" структурное подразделение ""Рижский"
4003,31.12.9999,01.01.1000,РижскийЭУ,,
4004,00.00.0000,00.00.0000,ПТОР Рустави,ПТОР Рустави,Пункт текущего отцепочного ремонта вагонов ст. Рустави
4004,31.12.9999,01.01.1000,ПТОРРустави,,
4005,00.00.0000,00.00.0000,ПТОР Тбилиси-Сорт.,ПТОР Тбилиси-Сортировочная,Пункт текущего отцепочного ремонта вагонов ст. Тбилиси-Сорти
4005,31.12.9999,01.01.1000,ПТОРТбилиси-Сорт.,,
4006,00.00.0000,00.00.0000,ПТОР Тбилиси-Узл.,ПТОР Тбилиси-Узловая,Пункт текущего отцепочного ремонта вагонов ст. Тбилиси-Узлов
4006,31.12.9999,01.01.1000,ПТОРТбилиси-Узл.,,
4007,00.00.0000,00.00.0000,ПТОР Садахло,ПТОР Садахло,Пункт текущего отцепочного ремонта вагонов ст. Садахло
4007,31.12.9999,01.01.1000,ПТОРСадахло,,
4008,00.00.0000,00.00.0000,ПТОР Хашури,ПТОР Хашури,Пункт текущего отцепочного ремонта вагонов ст. Хашури
4008,31.12.9999,01.01.1000,ПТОРХашури,,
4009,00.00.0000,00.00.0000,ПТОР Самтредиа,ПТОР Самтредиа,Пункт текущего отцепочного ремонта вагонов ст. Самтредиа
4009,31.12.9999,01.01.1000,ПТОРСамтредиа,,
4010,00.00.0000,00.00.0000,Даугавпилсский ЭУ,Даугавпилсский ЭУ,"ГАО ""Латвияс дзелзцельш"" структурное подразделение ""Даугавпи"
4010,31.12.9999,01.01.1000,ДаугавпилсскийЭУ,,
4011,00.00.0000,00.00.0000,ПТОР Поти,ПТОР Поти,Пункт текущего отцепочного ремонта вагонов ст. Поти
4011,31.12.9999,01.01.1000,ПТОРПоти,,
4012,00.00.0000,00.00.0000,ПТОР Батуми,ПТОР Батуми,Пункт текущего отцепочного ремонта вагонов ст. Батуми
4012,31.12.9999,01.01.1000,ПТОРБатуми,,
4013,00.00.0000,00.00.0000,"ООО ""РемТрансСервис""","ООО ""РемТрансСервис""","Общество с ограниченной ответственностью ""РемТрансСервис"""
4013,31.12.9999,01.01.1000,"ООО""РемТрансСервис""",,
4014,00.00.0000,00.00.0000,"*ЗАО ТК ""ЛУКойл-Тран","*ЗАО ТК ""ЛУКойл-Транс""-ВЧДЭ","* Вагонное (эксплуат.) депо ЗАО транспортной компании ""ЛУКой"
4014,31.12.9999,01.01.1000,"*ЗАОТК""ЛУКойл-Тран",,
4015,00.00.0000,00.00.0000,"ОАО ""Сильвинит""-ВЧДЭ","ОАО ""Сильвинит""-ВЧДЭ",Вагонное (эксплуатационное) депо открытого акционерного обще
4015,31.12.9999,01.01.1000,"ОАО""Сильвинит""-ВЧДЭ",,
4016,00.00.0000,00.00.0000,Лиски,Лиски,"Центр транспортного сервиса ""Лиски"""
4016,31.12.9999,01.01.1000,Лиски,,
4017,00.00.0000,00.00.0000,"ОАО ""Архбум""-ВЧДЭ","ОАО ""Архбум""-ВЧДЭ","Вагонное (экспл.) депо открытого акционерного общества ""Архб"
4017,31.12.9999,01.01.1000,"ОАО""Архбум""-ВЧДЭ",,
4018,00.00.0000,00.00.0000,"Ф. №1 ""В-Сибпромтран","Ф. №1 ""В-Сибпромтранс""","Филиал №1 открытого акционерного общества ""Восток-Сибпромтра"
4018,31.12.9999,01.01.1000,"Ф.№1""В-Сибпромтран",,
4019,00.00.0000,00.00.0000,"Ф. №2 ""В-Сибпромтран","Ф. №2 ""В-Сибпромтранс""","Филиал №2 открытого акционерного общества ""Восток-Сибпромтра"
4019,31.12.9999,01.01.1000,"Ф.№2""В-Сибпромтран",,
4020,00.00.0000,00.00.0000,Круглое поле-ВЧДЭ,Круглое поле-ВЧДЭ,Вагонное (эксплуатационное) депо Круглое поле
4020,31.12.9999,01.01.1000,Круглоеполе-ВЧДЭ,,
4021,00.00.0000,00.00.0000,ППС Кагамлыкская,ППС Кагамлыкская,Промывочно-пропарочная станция Кагамлыкская
4021,31.12.9999,01.01.1000,ППСКагамлыкская,,
4022,00.00.0000,00.00.0000,"ОАО ""Нижнекамскнефте","ОАО ""Нижнекамскнефтехим""","Открытое акционерное общество ""Нижнекамскнефтехим"""
4022,31.12.9999,01.01.1000,"ОАО""Нижнекамскнефте",,
4023,00.00.0000,00.00.0000,"ОАО ""ЭКЗА""","ОАО ""ЭКЗА""","Открытое акционерное общество ""ЭКЗА"""
4023,31.12.9999,01.01.1000,"ОАО""ЭКЗА""",,
4024,00.00.0000,00.00.0000,ППС Осенцы,ППС Осенцы,Промывочно-пропарочная станция Осенцы
4024,31.12.9999,01.01.1000,ППСОсенцы,,
4025,00.00.0000,00.00.0000,Тернополь-ВЧРЕФ,Тернополь-ВЧРЕФ,"Тернопольский рефрижераторный вагонный участок центра ""Укрре"
4025,31.12.9999,01.01.1000,Тернополь-ВЧРЕФ,,
4026,00.00.0000,00.00.0000,Фастов-ВЧРЕФ,Фастов-ВЧРЕФ,"Фастовский рефрижераторный вагонный участок центра ""Укррефтр"
4026,31.12.9999,01.01.1000,Фастов-ВЧРЕФ,,
4027,00.00.0000,00.00.0000,"Участок ТОР ЗАО ""ВРЗ","Участок ТОР ЗАО ""ВРЗ""","Участок текущего отцепочного ремонта ЗАО ""Вагон"
4027,31.12.9999,01.01.1000,ТОРСтерлитамакВРЗ,,
4028,00.00.0000,00.00.0000,ПТО Вайдотай,ПТО Вайдотай,Пункт технического обслуживания Вайдотай
4028,31.12.9999,01.01.1000,ПТОВайдотай,,
4029,00.00.0000,00.00.0000,ПТО Каунас,ПТО Каунас,Пункт технического обслуживания Каунас
4029,31.12.9999,01.01.1000,ПТОКаунас,,
4030,00.00.0000,00.00.0000,ПТО Кибартай,ПТО Кибартай,Пункт технического обслуживания Кибартай
4030,31.12.9999,01.01.1000,ПТОКибартай,,
4031,00.00.0000,00.00.0000,ПТО Клайпеда,ПТО Клайпеда,Пункт технического обслуживания Клайпеда
4031,31.12.9999,01.01.1000,ПТОКлайпеда,,
4032,00.00.0000,00.00.0000,ПТО Драугисте,ПТО Драугисте,Пункт технического обслуживания Драугисте
4032,31.12.9999,01.01.1000,ПТОДраугисте,,
4033,00.00.0000,00.00.0000,ПТО Бугяняй,ПТО Бугяняй,Пункт технического обслуживания Бугяняй
4033,31.12.9999,01.01.1000,ПТОБугяняй,,
4034,31.12.9999,01.01.1000,,,
4035,00.00.0000,00.00.0000,ВЧД-3 Уральск,ВЧД-3 Уральск,Уральское эксплуатационное вагонное депо
4035,31.12.9999,01.01.1000,ВЧД-3Уральск,,
4036,00.00.0000,00.00.0000,ВЧД-4 Кандыагаш,ВЧД-4 Кандыагаш,Кандыагашское эксплуатационное вагонное депо
4036,31.12.9999,01.01.1000,ВЧД-4Кандыагаш,,
4037,00.00.0000,00.00.0000,ВЧД-6 Казалинск,ВЧД-6 Казалинск,Казалинское эксплуатационное вагонное депо
4037,31.12.9999,01.01.1000,ВЧД-6Казалинск,,
4040,00.00.0000,00.00.0000,ВЧД-14 Балхаш,ВЧД-14 Балхаш,Балхашское эксплуатационное вагонное депо
4040,31.12.9999,01.01.1000,ВЧД-14Балхаш,,
4041,31.12.9999,01.01.1000,,,
4042,00.00.0000,00.00.0000,ВЧД-19 Костанай,ВЧД-19 Костанай,Костанайское эксплуатационное вагонное депо
4042,31.12.9999,01.01.1000,ВЧД-19Костанай,,
4043,00.00.0000,00.00.0000,ВЧД-23 Семипалатинск,ВЧД-23 Семипалатинск,Семипалатинское эксплуатационное вагонное депо
4043,31.12.9999,01.01.1000,ВЧД-23Семипалатинск,,
4044,00.00.0000,00.00.0000,ВЧД-24 Аягоз,ВЧД-24 Аягоз,Аягозское эксплуатационное вагонное депо
4044,31.12.9999,01.01.1000,ВЧД-24Аягоз,,
4045,00.00.0000,00.00.0000,ВЧД-27 Джамбул,ВЧД-27 Джамбул,Джамбульское эксплуатационное вагонное депо
4045,31.12.9999,01.01.1000,ВЧД-27Джамбул,,
4046,00.00.0000,00.00.0000,ВЧД-30 Арысь,ВЧД-30 Арысь,Арысское эксплуатационное вагонное депо
4046,31.12.9999,01.01.1000,ВЧД-30Арысь,,
4047,31.12.9999,01.01.1000,,,
4048,00.00.0000,00.00.0000,ВЧД-34 Курорт-Борово,ВЧД-34 Курорт-Боровое,Курорт-Боровское эксплуатационное вагонное депо
4048,31.12.9999,01.01.1000,ВЧД-34Курорт-Борово,,
4049,00.00.0000,00.00.0000,ППС Павлодар,ППС Павлодар,Павлодарская промывочно-пропарочная станция
4049,31.12.9999,01.01.1000,ППСПавлодар,,
4050,00.00.0000,00.00.0000,ППС Казыкурт,ППС Казыкурт,Казыкуртская промывочно-пропарочная станция
4050,31.12.9999,01.01.1000,ППСКазыкурт,,
4051,00.00.0000,00.00.0000,ППС Акжайык,ППС Акжайык,Акжайыкская промывочно-пропарочная станция
4051,31.12.9999,01.01.1000,ППСАкжайык,,
4052,00.00.0000,00.00.0000,ВЧДЭ Пенза,ВЧДЭ Пенза,Вагонное (эксплуатационное) депо Пенза
4052,31.12.9999,01.01.1000,ВЧДЭПенза,,
4053,00.00.0000,00.00.0000,ВЧДЭ Октябрьск,ВЧДЭ Октябрьск,Вагонное (эксплуатационное) депо Октябрьск
4053,31.12.9999,01.01.1000,ВЧДЭОктябрьск,,
4054,00.00.0000,00.00.0000,ВЧДЭ Дема,ВЧДЭ Дема,Вагонное (эксплуатационное) депо Дема
4054,31.12.9999,01.01.1000,ВЧДЭДема,,
4055,00.00.0000,00.00.0000,ВЧДЭ Кинель,ВЧДЭ Кинель,Вагонное (эксплуатационное) депо Кинель
4055,31.12.9999,01.01.1000,ВЧДЭКинель,,
4056,00.00.0000,00.00.0000,РТО Поти,РТО Поти,Пункт технического обслуживания Поти
4056,31.12.9999,01.01.1000,РТОПоти,,
4057,00.00.0000,00.00.0000,РТО Тбилиси-Узл.,РТО Тбилиси-Узловая,Пункт технического обслуживания Тбилиси-Узловая
4057,31.12.9999,01.01.1000,РТОТбилиси-Узл.,,
4058,00.00.0000,00.00.0000,РТО Тбилиси-Сорт.,РТО Тбилиси-Сортировочная,Пункт технического обслуживания Тбилиси-Сортировочная
4058,31.12.9999,01.01.1000,РТОТбилиси-Сорт.,,
4059,00.00.0000,00.00.0000,РТО Рустави,РТО Рустави,Пункт технического обслуживания Рустави
4059,31.12.9999,01.01.1000,РТОРустави,,
4060,00.00.0000,00.00.0000,РТО Гардабани,РТО Гардабани,Пункт технического обслуживания Гардабани
4060,31.12.9999,01.01.1000,РТОГардабани,,
4061,00.00.0000,00.00.0000,РТО Хашури,РТО Хашури,Пункт технического обслуживания Хашури
4061,31.12.9999,01.01.1000,РТОХашури,,
4062,00.00.0000,00.00.0000,РТО Каспи,РТО Каспи,Пункт технического обслуживания Каспи
4062,31.12.9999,01.01.1000,РТОКаспи,,
4063,00.00.0000,00.00.0000,РТО Батуми,РТО Батуми,Пункт технического обслуживания Батуми
4063,31.12.9999,01.01.1000,РТОБатуми,,
4064,00.00.0000,00.00.0000,РТО Самтредиа,РТО Самтредиа,Пункт технического обслуживания Самтредиа
4064,31.12.9999,01.01.1000,РТОСамтредиа,,
4065,00.00.0000,00.00.0000,РТО Кутаиси,РТО Кутаиси,Пункт технического обслуживания Кутаиси
4065,31.12.9999,01.01.1000,РТОКутаиси,,
4066,00.00.0000,00.00.0000,РТО Ткибули,РТО Ткибули,Пункт технического обслуживания Ткибули
4066,31.12.9999,01.01.1000,РТОТкибули,,
4067,00.00.0000,00.00.0000,РТО Зестафони,РТО Зестафони,Пункт технического обслуживания Зестафони
4067,31.12.9999,01.01.1000,РТОЗестафони,,
