/BIC/ZVCH_STMP,DATETO,DATEFROM,TXTSH,TXTMD,TXTLG
540,00.00.0000,00.00.0000,Белгоpод-ВЧД,Вагонное депо Белгоpод,Вагонное депо Белгоpод
540,31.12.9999,01.01.1000,Белгоpод-ВЧД,,
541,00.00.0000,00.00.0000,Хаpьков-Соpтировочны,Вагонное депо Хаpьков-Соpтиpовочный,Вагонное депо Хаpьков-Соpтиpовочный
541,31.12.9999,01.01.1000,Хаpьков-Соpтировочны,,
542,00.00.0000,00.00.0000,Хаpьков-ЛВЧД,Пассажирское вагонное депо Хаpьков,Пассажирское вагонное депо Хаpьков
542,31.12.9999,01.01.1000,Хаpьков-ЛВЧД,,
543,00.00.0000,00.00.0000,Основа-ВЧД,Вагонное депо Основа,Вагонное депо Основа
543,31.12.9999,01.01.1000,Основа-ВЧД,,
544,00.00.0000,00.00.0000,Люботин-ТЧ,Локомотивное депо Люботин,Локомотивное депо Люботин
544,31.12.9999,01.01.1000,Люботин-ТЧ,,
545,00.00.0000,00.00.0000,Полтава-ВЧД,Вагонное депо Полтава,Вагонное депо Полтава
545,31.12.9999,01.01.1000,Полтава-ВЧД,,
546,00.00.0000,00.00.0000,Кременчуг-ВЧД,Вагонное депо Кременчуг,Вагонное депо Кременчуг
546,31.12.9999,01.01.1000,Кременчуг-ВЧД,,
548,00.00.0000,00.00.0000,Лозовая-ВЧД,Лозовая-ВЧД,Лозовский участок вагонного депо Харьков-Сортировочный
548,31.12.9999,01.01.1000,Лозовая-ВЧД,,
550,00.00.0000,00.00.0000,Хабаpовск-ЛВЧД,Пасс. вагонное депо Хабаpовск,Пассажиpское вагонное депо Хабаpовск
550,31.12.9999,01.01.1000,Хабаpовск-ЛВЧД,,
552,00.00.0000,00.00.0000,ВРП Готня,"ВРП Готня ф-ал ООО ""ТВМ""","Вагоноремонтное предприятие Готня филиал ООО ""Трансвагонмаш"""
552,31.12.9999,01.01.1000,ВРПГотня,,
