/BIC/ZVCH_STAT,TXTSH,TXTMD,TXTLG
1532,КУРОПТ,КУРОПТА,КУРОПТА
1534,,ОП 105 КМ,ОСТ. ПУНКТ 105 КМ
1540,КОВДОР,КОВДОР,КОВДОР
1550,П.ЗОРИ,ПОЛЯРН.ЗОРИ,ПОЛЯРНЫЕ ЗОРИ
1551,ВОС.ГБ,ВОСТОЧН.ГУБА,ВОСТОЧНАЯ ГУБА
1560,АФРИКН,АФРИКАНДА,АФРИКАНДА
1561,ХАБОЗР,ХАБОЗЕРО,ХАБОЗЕРО
1562,ПИТКУЛ,ПИТКУЛЬ,ПИТКУЛЬ
1563,АПАТ1,АПАТИТЫ 1,АПАТИТЫ 1
1564,,БП 1268 КМ,БЛОКПОСТ 1268 КМ
1565,,АПАТИТЫ СОРТ,АПАТИТЫ СОРТИРОВОЧНАЯ
1570,КАНД-Э,КАНДАЛАКША-Э,КАНДАЛАКША-ЭКСПОРТ
1571,ПЛ 3КМ,ПЛ  3   КМ,ПЛАТФОРМА  3   КМ
1572,,БП НИВА,БЛОКПОСТ НИВА
1573,ПЛ 7КМ,ПЛ  7   КМ,ПЛАТФОРМА  7   КМ
1574,ПЛ12КМ,ПЛ 12   КМ,ПЛАТФОРМА 12   КМ
1580,ТИТАН,ТИТАН,ТИТАН
1591,,АЙКУВЕН,АЙКУВЕН
1592,,ЮКСПОРИОК,ЮКСПОРИОК
1600,АПАТИТ,АПАТИТЫ,АПАТИТЫ
1601,,БП 1256 КМ,БЛОКПОСТ 1256 КМ
1611,,АПАТИТЫ-ТИТАН,АПАТИТЫ-ТИТАН
1612,ХИБИНЫ,ХИБИНЫ,ХИБИНЫ
1613,НЕФ.ПС,НЕФЕЛИН.ПЕСК,НЕФЕЛИНОВЫЕ ПЕСКИ
1614,ИМАНДР,ИМАНДРА,ИМАНДРА
1615,,БП 1297 КМ,БЛОКПОСТ 1297 КМ
1616,,АПАТИТЫ-БП1256 КМ,АПАТИТЫ-БП 1256 КМ
1617,,АПАТИТЫ-БП 1268 КМ,АПАТИТЫ-БП 1268 КМ
1621,,БП 1303 КМ,БЛОКПОСТ 1303 КМ
1622,РУДНЫЙ,РУДНЫЙ,РУДНЫЙ
1623,КУНА,КУНА,КУНА
1624,ЯГ.БОР,ЯГЕЛЬНЫЙ БОР,ЯГЕЛЬНЫЙ БОР
1625,,БП 1333 КМ,БЛОКПОСТ 1333 КМ
1630,ОЛЕНГР,ОЛЕНЕГОРСК,ОЛЕНЕГОРСК
1631,ОП6 КМ,ОП 6 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 6 КМ
1632,ОП12КМ,ОП 12 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 12 КМ
1633,ОП16КМ,ОП 16 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 16 КМ
1634,ОП25КМ,ОП 25 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 25 КМ
1635,ОП27КМ,ОП 27 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 27 КМ
1640,МНЧГРС,МОНЧЕГОРСК,МОНЧЕГОРСК
1660,ЛАПЛАН,ЛАПЛАНДИЯ,ЛАПЛАНДИЯ
1662,ПУЛОЗР,ПУЛОЗЕРО,ПУЛОЗЕРО
1663,,БП 1340 КМ,БЛОКПОСТ 1340 КМ
1671,ТАЙБОЛ,ТАЙБОЛА,ТАЙБОЛА
1673,,БП 1391 КМ,БЛОКПОСТ 1391 КМ
1674,КИЦА,КИЦА,КИЦА
1675,ЛОПАРС,ЛОПАРСКАЯ,ЛОПАРСКАЯ
1676,,БП 1381 КМ,БЛОКПОСТ 1381 КМ
1681,ОП1410,ОП 1410 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 1410 К
1682,ОП1417,ОП 1417 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 1417 К
1683,МАГНЕТ,МАГНЕТИТЫ,МАГНЕТИТЫ
1691,ОП1425,ОП 1425 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 1425 К
1692,ВЫХОДН,ВЫХОДНОЙ,ВЫХОДНОЙ
1693,ОП1434,ОП 1434 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 1434 К
1694,ОП1437,ОП 1437 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 1437 К
1695,ШОНГУЙ,ШОНГУЙ,ШОНГУЙ
1696,,БП 1433 КМ,БЛОКПОСТ 1433 КМ
1700,КОЛА,КОЛА,КОЛА
1701,П 9 КМ,ПОСТ 9 КМ,ПОСТ 9 КМ
1703,ОП1439,ОП 1439 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 1439 К
